price_millions,space,rooms,geo_lat,geo_lng,parking,water_heating,doorman,price_level,gas_network,balcony,linen_room,anomaly,anomaly_score
2.7,170,5,6.23527,-75.59969,2,1,0,4,1.0,0,1,0,8.3047989837162
3.8,168,4,6.19676,-75.57473,2,1,1,3,1.0,0,1,0,8.1752501901048
4.5,145,3,6.19042,-75.57705,2,1,1,6,1.0,1,1,0,7.6089959074735
2.6,125,5,6.2407,-75.60679,1,0,0,5,0.0,0,0,0,7.5984636124505
1.35,189,4,6.2512,-75.59107,0,0,0,5,1.0,1,0,0,7.5002863401924
4.8,134,3,6.19676,-75.57473,2,1,1,5,1.0,1,1,0,7.4688491918153
2.2,160,5,6.26613,-75.59367,0,0,0,0,1.0,1,1,0,7.4013981718177
3.9,165,3,6.19676,-75.57473,2,1,1,6,1.0,1,1,0,7.2943158487308
3.8,167,3,6.19676,-75.57473,2,1,1,6,1.0,1,1,0,7.1774428240624
4.5,135,3,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,6.9432278878199
4.5,135,3,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,6.9432278878199
3.5,190,3,6.19692,-75.57461,1,1,1,6,1.0,1,1,0,6.884211710515
4.5,143,3,6.19676,-75.57473,2,1,1,5,1.0,1,1,0,6.8261906493237
2,155,5,6.26613,-75.59367,0,0,0,0,1.0,1,1,0,6.7570488571261
2.2,120,5,6.22624,-75.59555,0,0,0,3,0.0,0,0,0,6.4063330694976
0.56,18,1,6.26567,-75.60541,0,0,0,0,0.0,0,0,0,6.3186342134729
4.5,136,3,6.19676,-75.57473,2,1,1,5,1.0,1,1,0,6.3013574341262
0.65,18,1,6.2407,-75.60679,0,0,0,0,0.0,0,0,0,6.2372130005309
0.7,20,1,6.26567,-75.60541,0,0,0,0,0.0,0,0,0,6.036301468172
3.6,165,3,6.23131,-75.56986,2,1,1,5,1.0,1,1,0,5.8836567702861
3.3,168,3,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,5.866416671406
3.8,165,1,6.19676,-75.57473,0,1,1,6,1.0,1,1,0,5.8428141978394
0.62,25,1,6.25191,-75.60376,0,0,0,0,0.0,0,0,0,5.7769828698069
2,150,5,6.26613,-75.59367,0,1,0,3,1.0,1,0,0,5.7191200968246
0.6,23,1,6.22109,-75.59548,0,0,0,0,0.0,0,0,0,5.695368968303
0.57,40,1,6.24896,-75.61274,0,0,0,0,0.0,0,0,0,5.580897100018
0.47,30,1,6.27202,-75.54566,0,0,0,3,0.0,0,0,0,5.4617178979736
3,150,4,6.20385,-75.57168,2,1,1,6,1.0,0,1,0,5.3954578630515
4.5,110,2,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,5.3107822378423
3.3,171,3,6.24408,-75.59508,2,1,1,5,1.0,1,1,0,5.203245555786
2.8,110,3,6.19676,-75.57473,2,1,1,6,0.0,0,0,0,5.1360909817905
0.8,30,2,6.2598,-75.56215,0,0,0,0,0.0,0,0,0,5.0545314441312
0.78,45,2,6.24045,-75.55538,0,0,0,0,0.0,0,0,0,5.0260661466439
0.8,20,1,6.23527,-75.59969,0,0.5,0,0,0.0,0,0,0,4.9932377212508
2.5,150,3,6.26567,-75.60541,0,0,0,5,0.0,0,0,0,4.9398343386105
0.68,38,1,6.24643,-75.58541,0,0,0,0,0.0,0,0,0,4.9304641395789
1.5,170,4,6.22624,-75.59555,0,0,0,4,1.0,1,0,0,4.9200807114353
0.36,25,0,6.27354,-75.55583,0,0,0,3,0.0,0,1,0,4.8207954101979
0.6,20,1,6.24045,-75.55538,0,0,0,3,0.0,0,0,0,4.7894446862293
0.9,80,4,6.22624,-75.59555,0,0,0,0,0.0,0,0,0,4.7885178549197
0.75,40,1,6.22624,-75.59555,0,0,0,0,0.0,0,0,0,4.7669927969895
0.75,40,1,6.22624,-75.59555,0,0,0,0,0.0,0,0,0,4.7669927969895
1,61,4,6.22109,-75.59548,0,0,0,0,0.0,0,0,0,4.7432499148655
0.75,40,1,6.23027,-75.59148,0,0,0,0,0.0,0,0,0,4.7385015930662
0.8,40,1,6.22624,-75.59555,0,0,0,0,0.0,0,0,0,4.7181683287446
0.65,45,1,6.22624,-75.59555,0,0,0,0,0.0,0,0,0,4.7112565001267
0.65,45,1,6.22624,-75.59555,0,0,0,0,0.0,0,0,0,4.7112565001267
2.55,130,4,6.19676,-75.57473,2,1,1,6,0.0,1,1,0,4.6308467023149
0.45,30,1,6.2598,-75.56215,0,0,0,0,1.0,0,0,0,4.6126245744564
0.95,40,0,6.22355,-75.60327,0,0,0,3,0.0,0,0,0,4.5604737422303
0.95,50,1,6.21902,-75.60331,0,0,0,0,0.0,0,0,0,4.4646896718471
1,45,1,6.25356,-75.59456,0,0,0,0,0.0,0,0,0,4.4035939236892
1.3,80,3,6.24748,-75.5567,1,0,0,0,0.0,0,0,0,4.3268956295752
0.9,40,0,6.23932,-75.58988,0,0,0,4,0.0,0,0,0,4.3199409745437
2.5,115,3,6.25356,-75.59456,2,0,0,5,0.0,0,0,0,4.3043984091046
1.2,45,1,6.24408,-75.59508,0,0,0,0,0.0,0,0,0,4.2941133971822
3.5,110,3,6.2207,-75.56947,2,1,1,6,0.0,1,1,0,4.2723993441657
0.59,21,1,6.22941,-75.60168,0,0,0,6,0.0,0,0,0,4.2595015002437
4,140,3,6.21976,-75.56633,0,0,1,6,1.0,1,1,0,4.2468475637468
1.254,22,1,6.20202,-75.568,0,0,0,6,0.0,0,0,0,4.1715655354863
1.254,22,1,6.20202,-75.568,0,0,0,6,0.0,0,0,0,4.1715655354863
3.3,158,3,6.19676,-75.57473,2,1,1,5,1.0,1,1,0,4.1432834084022
3.5,147,2,6.19676,-75.57473,0,1,1,6,0.0,1,1,0,4.1249353644325
3.75,130,3,6.2207,-75.56947,2,1,1,6,1.0,1,1,0,4.1242394988669
1.65,180,4,6.2407,-75.60679,0,1,0,5,1.0,0,1,0,4.1229407590391
0.68,50,2,6.25898,-75.61355,0,0,0,0,0.0,0,0,0,4.1131468021984
3.95,152,3,6.19692,-75.57461,1,1,1,6,1.0,1,1,0,4.0939809906202
2.8,70,2,6.20385,-75.57168,0,0,0,0,0.0,1,0,0,4.0695740076156
0.56,50,2,6.27202,-75.54566,0,0,0,2,0.0,0,0,0,4.0152108195201
2.5,120,4,6.2407,-75.60679,0,1,0,5,0.0,0,0,0,4.0124482490277
1.55,147,3,6.22624,-75.59555,1,0,0,0,1.0,0,0,0,4.0056891605722
2.4,190,3,6.2407,-75.60679,1,1,0,5,1.0,1,1,0,3.975738998863
0.83,35,1,6.27354,-75.55583,0,0,0,3,0.0,0,0,0,3.8034552541503
0.65,28,1,6.23711,-75.56153,0,0,0,3,0.0,0,0,0,3.8002987906929
0.65,28,1,6.23711,-75.56153,0,0,0,3,0.0,0,0,0,3.8002987906929
0.65,28,1,6.23711,-75.56153,0,0,0,3,0.0,0,0,0,3.8002987906929
0.65,28,1,6.23711,-75.56153,0,0,0,3,0.0,0,0,0,3.8002987906929
0.65,20,1,6.24896,-75.61274,0,0,0,3,0.0,0,0,0,3.7920414942431
0.76,35,1,6.24748,-75.5567,0,0,0,3,0.0,0,0,0,3.7617528098654
2.5,187,3,6.2407,-75.60679,1,1,0,5,1.0,1,1,0,3.7205131791207
0.65,20,1,6.24896,-75.61274,0,0,0,4,0.0,0,0,0,3.708333979208
0.75,60,4,6.28064,-75.56082,0,0,0,0,0.0,0,1,0,3.6732748393199
0.6,20,1,6.24831,-75.60905,0,0,0,3,0.0,0,0,0,3.6600136411763
3.4,94,3,6.21976,-75.56633,2,1,1,6,0.0,1,1,0,3.648742429465
2.6,96,1,6.19676,-75.57473,0,0,0,6,0.0,0,0,0,3.5976927513381
0.75,32,1,6.24255,-75.56057,0,0,1,3,0.0,0,0,0,3.5885792605902
0.65,35,1,6.27202,-75.54566,0,0,0,2,1.0,0,0,0,3.5414404939677
0.65,35,1,6.27202,-75.54566,0,0,0,2,1.0,0,0,0,3.5414404939677
0.75,30,1,6.24748,-75.5567,0,1,1,4,0.0,0,0,0,3.5029709291296
0.9,60,2,6.24831,-75.60905,0,0,0,0,0.0,0,0,0,3.4656380168653
1.03,150,3,6.27354,-75.55583,0,0,0,3,1.0,0,0,0,3.4541026926344
0.85,120,3,6.23711,-75.56153,0,0,0,2,0.0,0,0,0,3.4180285809383
1.3,70,3,6.24831,-75.60905,0,0,0,0,0.0,0,0,0,3.4064552124602
0.75,50,2,6.24408,-75.59508,0,0,0,0,0.0,0,0,0,3.3782830018073
2.85,140,1,6.21261,-75.57005,0,1,1,6,0.0,1,1,0,3.367171591547
2.5,118,3,6.2207,-75.56947,2,1,1,6,1.0,0,0,0,3.3249542388362
1.44,115,4,6.22109,-75.59548,0,0,0,0,1.0,1,0,0,3.320052462572
0.67,35,0,6.25898,-75.61355,0,0,0,3,1.0,1,0,0,3.2830780140883
0.86,35,1,6.24255,-75.56057,0,0,0,4,0.0,0,0,0,3.2671905943318
0.82,45,1,6.24748,-75.5567,0,0,0,4,0.0,0,0,0,3.2655117711781
0.82,45,1,6.24748,-75.5567,0,0,0,4,0.0,0,0,0,3.2655117711781
4.3,123,3,6.19676,-75.57473,1,1,1,6,1.0,1,1,0,3.2516631655741
0.95,70,3,6.23113,-75.60013,0,0,0,0,0.0,0,0,0,3.2484129906321
2.8,126,3,6.2407,-75.60679,1,0,0,4,0.0,0,0,0,3.2444584125402
0.69,25,1,6.22941,-75.60168,0,0,0,5,0.0,0,0,0,3.2180852335206
3,144,3,6.2407,-75.60679,1,0,1,0,1.0,0,1,0,3.2127406549823
0.55,24,1,6.25191,-75.60376,0,0,0,4,0.0,0,0,0,3.2076404996609
1.25,60,3,6.23113,-75.60013,0,0,0,0,0.0,0,0,0,3.1672518071829
0.9,75,3,6.27202,-75.54566,0,0,0,3,0.0,0,0,0,3.1494819353714
1,55,2,6.23527,-75.59969,0,0,0,0,0.0,0,0,0,3.1334941566376
3,140,3,6.21261,-75.57005,2,1,1,6,1.0,0,1,0,3.1113059702442
3,140,3,6.21261,-75.57005,2,1,1,6,1.0,0,1,0,3.1113059702442
0.88,55,2,6.24896,-75.61274,0,1,1,0,0.0,1,0,0,3.0770900682585
3.5,125,3,6.23131,-75.56986,2,1,1,6,1.0,1,1,0,3.0635142037378
4.1,130,3,6.24408,-75.59508,1,0,1,6,1.0,1,1,0,3.0630204937806
0.7,26,1,6.24408,-75.59508,0,0,0,5,0.0,0,0,0,3.0348998700215
0.5,40,1,6.23113,-75.60013,0,0,0,2,0.0,0,0,0,3.0043613476382
1.9,75,3,6.26826,-75.58715,1,0,0,0,0.0,0,0,0,2.9762550759288
1.9,75,3,6.26826,-75.58715,1,0,0,0,0.0,0,0,0,2.9762550759288
1,55,3,6.27202,-75.54566,0,0,0,3,0.0,1,0,0,2.9588805960628
3.5,140,3,6.19692,-75.57461,1,1,0,5,0.0,1,1,0,2.9566782568496
0.5,28,1,6.22624,-75.59555,0,0,0,3,0.0,0,0,0,2.943886406535
0.7,30,1,6.23042,-75.60727,0,0,0,3,0.0,0,0,0,2.9300921005974
3.3,160,3,6.19692,-75.57461,1,1,1,6,1.0,1,1,0,2.9247849614955
1,65,2,6.23584,-75.59159,0,0,0,0,0.0,0,0,0,2.8962341980937
2.9,135,4,6.24408,-75.59508,1,1,0,0,1.0,1,1,0,2.8961148591036
3.1,93,3,6.21976,-75.56633,2,1,1,6,0.0,1,1,0,2.8956072533017
0.7,25,1,6.22941,-75.60168,0,0,0,4,0.0,0,0,0,2.8952752559807
3.2,96,3,6.21976,-75.56633,2,0.5,1,6,0.0,1,1,0,2.874035127931
1.45,80,3,6.24408,-75.59508,1,0,0,0,0.0,0,0,0,2.8723159239028
3,140,3,6.21261,-75.57005,2,1,1,6,1.0,1,1,0,2.8391439220086
3,140,3,6.21261,-75.57005,2,1,1,6,1.0,1,1,0,2.8391439220086
1.9,130,3,6.26567,-75.60541,0,0,0,5,0.0,0,0,0,2.8380337444264
0.85,34,1,6.2407,-75.60679,0,0,0,5,0.0,0,0,0,2.8211933693661
1.45,55,2,6.26826,-75.58715,1,0,0,0,0.0,0,0,0,2.7832327719665
0.55,30,1,6.22624,-75.59555,0,0,0,3,0.0,0,0,0,2.7823857959425
2.5,117,2,6.19692,-75.57461,0,1,1,6,0.0,0,0,0,2.7609638273436
0.67,40,1,6.23042,-75.60727,0,0,0,0,0.0,0,1,0,2.73231077692
0.48,30,1,6.27202,-75.54566,0,0,0,3,0.0,1,1,0,2.7305458446306
0.6,45,1,6.23113,-75.60013,0,0,0,2,0.0,0,0,0,2.7120266245636
1.3,150,4,6.26613,-75.59367,0,1,0,3,1.0,1,0,0,2.6786328805608
2,56,1,6.19042,-75.57705,0,0,0,6,0.0,0,0,0,2.6607993998551
0.9,38,1,6.2407,-75.60679,1,0,0,0,1.0,1,0,0,2.65974114323
0.99,120,1,6.24307,-75.58122,0,0,0,4,0.0,0,0,0,2.6575153645458
1.7,70,2,6.26826,-75.58715,1,0,0,0,0.0,0,0,0,2.6564655577152
1.7,65,3,6.21902,-75.60331,1,1,0,0,0.0,0,0,0,2.6496405745373
2.5,180,3,6.23113,-75.60013,1,1,0,5,1.0,1,1,0,2.6288358012242
3,140,3,6.19676,-75.57473,2,1,1,6,1.0,1,1,0,2.6234708848264
0.75,40,1,6.26567,-75.60541,0,0,0,0,0.0,0,1,0,2.6064543940401
3.45,140,1,6.19676,-75.57473,0,1,1,6,1.0,1,1,0,2.576026085152
0.75,30,1,6.22624,-75.59555,0,0,0,3,0.0,0,0,0,2.5526707952695
0.6,30,1,6.22624,-75.59555,1,0,0,4,0.0,0,0,0,2.5031403555819
0.85,45,1,6.24896,-75.61274,0,0,0,3,0.0,0,0,0,2.4936839870818
0.4,45,1,6.24627,-75.54584,0,0,0,3,0.0,0,1,0,2.4916098522234
0.45,30,0,6.24045,-75.55538,0,0,0,3,1.0,0,1,0,2.490120541084
0.85,70,4,6.23113,-75.60013,0,0,0,2,0.0,1,0,0,2.4664264551542
0.85,30,1,6.2512,-75.59107,0,0,0,3,0.0,0,0,0,2.4459535343452
0.8,30,1,6.23932,-75.58988,0,0,0,4,0.0,0,0,0,2.3971680890735
3.9,130,3,6.24408,-75.59508,1,0,1,6,1.0,1,1,0,2.3703564722691
0.55,35,1,6.24627,-75.54584,0,0,0,3,0.0,1,1,0,2.3662067477603
0.75,58,1,6.25898,-75.61355,0,0,0,3,0.0,0,0,0,2.3496105985834
3.5,110,3,6.2207,-75.56947,2,1,1,6,1.0,1,1,0,2.3210442153648
1.7,50,1,6.19692,-75.57461,0,1,0,6,0.0,0,0,0,2.3148520079289
1,75,3,6.24045,-75.55538,0,1,0,0,1.0,0,0,0,2.3145145348973
0.78,45,1,6.22941,-75.60168,0,0,0,5,0.0,0,0,0,2.3038290274454
2.4,174,2,6.24896,-75.61274,1,0,0,3,1.0,1,1,0,2.2712296996018
0.9,38,1,6.234,-75.57743,0,0,0,3,0.0,0,0,0,2.2704252229099
0.45,30,1,6.23113,-75.60013,0,0.5,0,3,0.0,0,0,0,2.2683375342565
2.6,148,3,6.21976,-75.56633,2,1,1,5,1.0,1,1,0,2.2598107845881
0.9,75,2,6.26826,-75.58715,0,0.5,0,0,0.0,0,0,0,2.2584123081387
1,60,2,6.22624,-75.59555,0,0.5,0,0,0.0,0,0,0,2.2367718529728
0.77,32,2,6.24255,-75.56057,0,0,0,3,0.0,1,0,0,2.1944726771616
0.55,54,1,6.23932,-75.58988,0,0,0,5,0.0,0,0,0,2.1885155410085
1.3,94,4,6.22624,-75.59555,0,0,0,3,0.0,0,0,0,2.1853119632198
2.3,85,3,6.21976,-75.56633,0,1,1,6,0.0,0,0,0,2.131594120582
2.5,60,1,6.24408,-75.59508,1,0,0,5,0.0,0,0,0,2.0942977207239
1.5,30,1,6.24909,-75.59132,0,0,0,4,0.0,0,0,0,2.0837401255953
2.8,134,3,6.2407,-75.60679,1,0,0,0,1.0,0,1,0,2.0721373790763
1.7,48,1,6.19692,-75.57461,0,0,0,5,0.0,0,0,0,2.0692552709381
2.7,170,3,6.24307,-75.58122,1,1,0,5,1.0,0,1,0,2.0670128275216
1.4,98,4,6.26567,-75.60541,0,1,0,4,0.0,0,0,0,2.0634191379312
0.8,60,2,6.24045,-75.55538,0,0,0,3,0.0,0,0,0,2.0573628099567
0.75,50,1,6.24909,-75.59132,0,0,0,5,0.0,0,0,0,2.0563046875814
4,125,2,6.19676,-75.57473,1,1,1,6,1.0,1,1,0,2.0362405256521
0.65,45,1,6.24627,-75.54584,1,0,0,3,0.0,0,1,0,2.0284980857621
3.3,120,3,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,2.0276928999292
3.3,120,3,6.19692,-75.57461,2,1,1,6,1.0,1,1,0,2.0276928999292
2.1,78,1,6.2407,-75.60679,0,0,0,5,0.0,0,0,0,2.0241653183079
0.98,39,0,6.26567,-75.60541,0,1,0.5,0,1.0,0,1,0,1.9875996806809
1.2,110,4,6.28064,-75.56082,0,0,0,3,1.0,0,0,0,1.9491894232837
0.78,45,1,6.22624,-75.59555,0,0,0,3,0.0,0,0,0,1.9485446887063
1,59,3,6.24748,-75.5567,0,0,0,4,0.0,0,0,0,1.9471059396534
2.5,110,2,6.19042,-75.57705,1,1,1,6,0.0,1,0,0,1.9435862816047
2.5,130,4,6.24408,-75.59508,1,1,0,5,1.0,1,0,0,1.9389708399153
2.5,95,3,6.19042,-75.57705,1,1,1,6,0.0,0,0,0,1.9374344891632
2.8,143,3,6.20385,-75.57168,2,1,1,5,1.0,1,1,0,1.8912535181151
2.2,170,3,6.24896,-75.61274,0,0,0,4,1.0,1,1,0,1.881611054678
0.72,48,2,6.23711,-75.56153,0,0,1,3,0.0,0,0,0,1.8796848820577
0.9,55,2,6.24748,-75.5567,0,0,0,0,0.0,1,1,0,1.8486800900513
0.9,45,1,6.24307,-75.58122,0,0,0,4,0.0,0,0,0,1.8484994960723
0.65,40,1,6.27354,-75.55583,0,0,0,2,0.0,0,1,0,1.8306673590554
0.78,50,1,6.24408,-75.59508,0,0,0,3,0.0,0,0,0,1.8189462784404
2.9,92,2,6.19692,-75.57461,2,1,1,6,0.0,1,1,0,1.8016376206132
0.85,45,1,6.2512,-75.59107,0,0,0,4,0.0,0,0,0,1.7878275992263
1.9,68,1,6.19042,-75.57705,0,0,0,5,0.0,0,0,0,1.7560443494736
1,80,1,6.27202,-75.54566,0,0,0,3,1.0,1,0,0,1.7484327924996
0.85,56,1,6.234,-75.57743,0,0,0,4,0.0,0,0,0,1.7292517021127
0.75,42,3,6.24748,-75.5567,0,1,0.5,3,0.0,0,0,0,1.7178235743076
2.8,135,3,6.19676,-75.57473,1,1,1,0,1.0,0,1,0,1.7070977535504
0.85,50,1,6.24408,-75.59508,0,0,0,4,0.0,0,0,0,1.6707392261642
1.75,75,1,6.21902,-75.60331,0,0,0,5,0.0,0,0,0,1.6566763424907
1.1,52,1,6.25191,-75.60376,0,0,0,4,0.0,0,0,0,1.651729435559
0.75,32,1,6.24255,-75.56057,0,0,1,3,1.0,0,0,0,1.6372241317893
1.15,38,1,6.23042,-75.60727,0,1,1,3,0.0,1,0,0,1.5696358268809
0.9,80,4,6.28064,-75.56082,0,0,0,2,1.0,1,0,0,1.568985251828
2.5,91,2,6.2407,-75.60679,0,0,0,5,0.0,0,0,0,1.5586310896374
3.2,110,3,6.2207,-75.56947,2,1,1,6,1.0,1,1,0,1.5505017791064
2.9,92,2,6.19692,-75.57461,2,1,1,0,1.0,1,1,0,1.5394813345415
0.5,50,2,6.26567,-75.60541,0,0,0,2,0.0,1,0,0,1.5344248288928
0.85,60,2,6.25898,-75.61355,0,0,0,0,1.0,1,0,0,1.5326775002946
0.65,48,2,6.27202,-75.54566,0,0,0,3,1.0,0,0,0,1.5265972823018
1.2,80,1,6.23932,-75.58988,0,0,0,5,0.0,0,0,0,1.4993748978579
0.95,55,1,6.26613,-75.59367,0,0,0,4,0.0,0,0,0,1.4931742189028
1.8,120,3,6.23527,-75.59969,1,1,1,5,0.0,0,0,0,1.4565277180607
2.6,120,3,6.21976,-75.56633,2,0,1,6,1.0,1,1,0,1.4500400774583
3.6,87,2,6.19676,-75.57473,2,1,1,6,1.0,1,1,0,1.4497807168378
3,150,3,6.20385,-75.57168,1,1,1,6,1.0,1,1,0,1.4437245599857
2.8,130,3,6.2407,-75.60679,1,1,0,5,1.0,0,0,0,1.4429182662732
0.6,18,1,6.24896,-75.61274,0,0,0,4,0.0,0,1,0,1.4400460561538
0.75,35,1,6.23711,-75.56153,0,0,0,3,1.0,0,0,0,1.4262667668646
2.2,115,3,6.19692,-75.57461,1,1,1,5,0.0,1,0,0,1.4229670187518
0.55,50,2,6.23557,-75.60947,0,0,0,3,0.0,0,0,0,1.4044959909458
1.5,20,2,6.24408,-75.59508,1,0,0,4,0.0,0,0,0,1.3977357930033
3,156,3,6.2207,-75.56947,1,1,1,5,1.0,1,1,0,1.3907465224743
1.6,110,3,6.23932,-75.58988,0,0,0,5,0.0,0,0,0,1.3543232983172
1.2,48,1,6.23113,-75.60013,1,1,0,5,0.0,0,0,0,1.3494644162099
0.9,45,1,6.24045,-75.55538,0,0,0,0,1.0,1,1,0,1.3463943467805
2.4,90,3,6.20385,-75.57168,2,1,1,6,0.0,1,1,0,1.3157783823452
3,150,3,6.19676,-75.57473,1,1,1,6,1.0,1,1,0,1.3101451474507
0.9,83,3,6.25898,-75.61355,0,0,0,3,0.0,0,0,0,1.3068603471125
0.55,55,2,6.23557,-75.60947,0,0,0,3,0.0,0,0,0,1.2963104893531
0.65,60,2,6.27202,-75.54566,0,0,0,3,1.0,0,0,0,1.2869410317037
0.85,40,2,6.23042,-75.60727,0,0,0,3,0.0,0,0,0,1.2775096341838
1.8,160,4,6.21902,-75.60331,0,1,0,4,1.0,1,1,0,1.2715123255705
0.5,40,1,6.27354,-75.55583,0,0,0,3,0.0,1,1,0,1.2669205029119
